[317.68393  348.2027   -15.541776],[317.23422  355.96008  -11.224616],[316.8595   362.4246   -10.361184],[316.18494  374.06067  -12.088048],[308.70856  346.38513  -14.678344],[299.5084   348.4463   -11.224616],[294.11194  352.02515   -7.770888],[288.56558    358.18988     -0.86343193],[292.51923   357.12183    -1.7268639],[300.42654  354.98572   -6.907456],[305.59814 355.28552  -8.63432],[310.76974  355.58533  -11.224616],[307.20956  372.2431   -11.224616],[310.46994  360.75696   -9.497752],[298.83383  360.0824    -6.044024],[293.36243  364.95416   -6.907456],[296.32297  358.6396    -3.453728],[291.00146  360.92557   -3.453728],[304.00543  360.3822    -7.770888],[299.60208  369.20764   -9.497752],[290.0833    354.3861     -4.3171597],[296.47287   356.05377    -4.3171597],[325.5163   347.3595   -14.678344],[335.70956  350.5449   -12.088048],[340.6563   354.7234    -9.497752],[345.45316   361.4877     -1.7268639],[341.6494   359.96994   -3.453728],[334.04193  356.93445   -7.770888],[328.87033  356.63464   -9.497752],[323.69873  356.33484  -11.224616],[325.31018  373.29242  -11.224616],[323.39893  361.50644  -10.361184],[335.035    362.181     -6.907456],[338.6139   367.57745   -7.770888],[338.98865   361.11295    -4.3171597],[342.71747   363.92358    -4.3171597],[329.8634  361.8812   -8.63432],[333.21747  371.15634   -9.497752],[344.3851   357.53406   -6.044024],[337.84564  358.4522    -5.180592]
[317.43097  346.39844  -15.541776],[316.64398  354.15582  -12.088048],[317.1499   362.0444   -10.361184],[315.96942  373.68048  -12.088048],[308.51184  344.18738  -14.678344],[300.36096  347.2791   -11.224616],[294.79587  350.63318   -7.770888],[288.96844    356.573       -0.86343193],[292.84714   356.9665     -1.7268639],[300.99805  353.8748    -6.907456],[304.8767  354.26825  -8.63432],[311.34125  354.92407  -11.224616],[306.91913  372.76233  -11.224616],[310.68542  361.38858   -9.497752],[299.18048  358.91522   -6.044024],[294.64597  364.9862    -6.907456],[296.59467  358.6529    -3.453728],[291.16074  360.71402   -3.453728],[304.35205  359.43988   -7.770888],[299.42407  369.3896    -9.497752],[290.52368   354.11835    -4.3171597],[296.98816   354.77417    -4.3171597],[326.61243  346.02368  -14.678344],[335.4004  349.52765 -12.95148],[340.17853  353.93097   -9.497752],[345.98718   361.05133    -1.7268639],[342.23965  359.36493   -3.453728],[334.74457  355.99213   -7.770888],[329.573    355.46747   -9.497752],[323.1085   354.81165  -11.224616],[325.15088  373.30573  -11.224616],[323.74557  361.40735  -10.361184],[335.51282  361.29492   -6.907456],[340.15976  366.99115   -7.770888],[339.5227   360.3955    -5.180592],[343.13907   363.3748     -4.3171597],[330.34125 360.77026  -8.63432],[333.30176  370.21405  -10.361184],[343.7949   356.91028   -6.044024],[338.49213  357.67853   -5.180592]
[317.68393  348.2027   -14.678344],[317.23422  355.96008  -11.224616],[316.8595   362.4246    -9.497752],[316.11     375.35358  -11.224616],[308.70856  346.38513  -13.814912],[300.72632  349.81412  -11.224616],[295.40485  352.1001    -7.770888],[2.8856558e+02 3.5818988e+02 5.9604645e-08],[293.73718   358.4897     -1.7268639],[300.3516   356.27863   -6.044024],[305.5232  356.57843  -8.63432],[310.76974  355.58533  -10.361184],[307.1346   373.536    -10.361184],[310.395   362.04984  -8.63432],[300.12674  360.15735   -5.180592],[294.58038  366.32202   -6.044024],[296.24802   359.9325     -2.5902958],[290.9265    362.21844    -2.5902958],[303.93048  361.67508   -6.907456],[299.52713 370.5005   -8.63432],[291.30127  355.75397   -3.453728],[297.76578  356.12872   -3.453728],[326.80917  347.43445  -14.678344],[335.70956  350.5449   -12.088048],[340.6563  354.7234   -8.63432],[346.74606   361.56265    -1.7268639],[342.94232   360.0449     -2.5902958],[333.96698  358.22736   -6.907456],[330.1632   356.7096    -9.497752],[323.69873  356.33484  -10.361184],[325.23523  374.58533  -10.361184],[324.61688  362.87427   -9.497752],[335.035    362.181     -6.044024],[339.9068   367.6524    -6.907456],[338.9137    362.40585    -4.3171597],[343.93542  365.29144   -3.453728],[329.78845  363.17407   -7.770888],[333.14252 372.44922  -8.63432],[344.3851   357.53406   -5.180592],[337.84564   358.4522     -4.3171597]
[317.2998   347.69135  -15.541776],[316.51282  355.44873  -11.224616],[317.01874  363.33728  -10.361184],[315.83826  374.9734   -11.224616],[308.38068  345.4803   -14.678344],[300.2298   348.57202  -11.224616],[294.6647   351.92606   -7.770888],[288.83728    357.8659      -0.86343193],[292.71597   358.2594     -1.7268639],[300.86688  355.16766   -6.907456],[304.74554 355.56116  -8.63432],[311.34125  354.92407  -11.224616],[306.78796  374.05524  -11.224616],[309.26135  362.5503    -9.497752],[299.04932  360.20813   -6.044024],[293.35306  364.85504   -6.907456],[296.4635   359.9458    -3.453728],[291.02957  362.00693   -3.453728],[304.2209   360.73276   -7.770888],[299.2929  370.68246  -8.63432],[290.52368   354.11835    -4.3171597],[296.857     356.06708    -4.3171597],[326.61243  346.02368  -14.678344],[335.26923  350.82053  -12.088048],[340.04736 355.22388  -8.63432],[345.85602   362.34424    -1.7268639],[342.1085   360.65784   -3.453728],[333.32053  357.15387   -7.770888],[329.44183  356.76038   -9.497752],[322.97733  356.10455  -11.224616],[325.0197   374.59863  -11.224616],[323.6144   362.70023   -9.497752],[334.08875  362.45663   -6.044024],[338.73572  368.1529    -6.907456],[338.09863   361.55725    -4.3171597],[343.0079    364.66766    -4.3171597],[330.07892 363.35602  -8.63432],[333.03943  372.7998    -9.497752],[343.66373  358.2032    -5.180592],[338.36096  358.97144   -5.180592]
[317.68393  348.2027   -15.541776],[317.23422  355.96008  -11.224616],[316.78455  363.71747  -10.361184],[316.11     375.35358  -11.224616],[308.70856  346.38513  -14.678344],[299.43344  349.73917  -11.224616],[294.11194  352.02515   -7.770888],[2.8849063e+02 3.5948279e+02 5.9604645e-08],[292.44427   358.41473    -1.7268639],[300.3516   356.27863   -6.044024],[304.30524 355.21057  -8.63432],[310.76974  355.58533  -10.361184],[305.84174  373.46106  -10.361184],[309.10208  361.97488   -9.497752],[298.83383  360.0824    -5.180592],[293.28748  366.24707   -6.044024],[296.24802  359.9325    -3.453728],[289.6336    362.1435     -2.5902958],[303.93048  361.67508   -7.770888],[298.23422 370.42554  -8.63432],[290.00836  355.67902   -3.453728],[296.47287  356.05377   -3.453728],[325.5163   347.3595   -14.678344],[335.70956 350.5449  -12.95148],[339.3634   354.64844   -9.497752],[346.74606   361.56265    -1.7268639],[341.6494   359.96994   -3.453728],[334.04193  356.93445   -7.770888],[328.87033  356.63464   -9.497752],[323.69873  356.33484  -11.224616],[325.23523  374.58533  -11.224616],[323.32397  362.79932   -9.497752],[335.035    362.181     -6.907456],[339.9068   367.6524    -7.770888],[338.9137    362.40585    -4.3171597],[342.64252   365.2165     -4.3171597],[329.78845 363.17407  -8.63432],[333.14252  372.44922   -9.497752],[344.3851   357.53406   -6.044024],[337.84564  358.4522    -5.180592]
[316.39105  348.12775  -14.678344],[315.8664   357.17804  -11.224616],[315.49164  363.64252   -9.497752],[314.81708  375.27863  -11.224616],[307.41568  346.31018  -13.814912],[299.43344  349.73917  -11.224616],[294.037    353.31805   -6.907456],[288.49063    359.4828       0.86343205],[292.44427    358.41473     -0.86343193],[300.3516   356.27863   -6.044024],[304.2303  356.50348  -8.63432],[309.4019   356.80328  -10.361184],[305.76678  374.75397  -10.361184],[309.02713 363.26776  -8.63432],[298.75888  361.37527   -5.180592],[293.28748  366.24707   -5.180592],[296.24802   359.9325     -2.5902958],[289.6336    362.1435     -2.5902958],[302.63757  361.60013   -6.907456],[298.15927  371.71844   -7.770888],[290.00836  355.67902   -3.453728],[296.47287  356.05377   -3.453728],[325.5163   347.3595   -14.678344],[334.4167   350.46994  -12.088048],[339.3634  354.64844  -8.63432],[346.74606   361.56265    -1.7268639],[341.6494    359.96994    -2.5902958],[333.96698  358.22736   -6.907456],[328.79538  357.92755   -9.497752],[322.40582  356.2599   -11.224616],[323.86737  375.80328  -10.361184],[323.24902  364.09222   -9.497752],[334.96008  363.47388   -6.044024],[338.6139   367.57745   -6.907456],[338.9137    362.40585    -4.3171597],[342.64252   365.2165     -4.3171597],[329.78845  363.17407   -7.770888],[333.14252  372.44922   -9.497752],[344.3851   357.53406   -5.180592],[337.84564  358.4522    -5.180592]
[317.68393  348.2027   -14.678344],[317.15927  357.253    -11.224616],[316.78455  363.71747   -9.497752],[316.11     375.35358  -11.224616],[308.6336   347.67804  -13.814912],[299.43344  349.73917  -11.224616],[295.3299   353.393     -7.770888],[2.8978351e+02 3.5955774e+02 5.9604645e-08],[293.73718    358.4897      -0.86343193],[300.3516   356.27863   -6.044024],[305.5232  356.57843  -8.63432],[310.6948   356.87823  -10.361184],[307.05966  374.82892  -10.361184],[310.32004 363.3427   -8.63432],[300.0518   361.45023   -5.180592],[294.58038  366.32202   -6.044024],[297.54092   360.00745    -2.5902958],[290.9265    362.21844    -2.5902958],[303.93048  361.67508   -6.907456],[299.45218 371.7934   -8.63432],[291.30127  355.75397   -3.453728],[297.69083  357.42163   -3.453728],[326.80917  347.43445  -14.678344],[335.6346   351.83777  -12.088048],[340.6563  354.7234   -8.63432],[346.74606   361.56265    -1.7268639],[342.86737  361.3378    -3.453728],[333.96698  358.22736   -7.770888],[330.08826  358.0025    -9.497752],[323.62378  357.62775  -11.224616],[325.23523  374.58533  -11.224616],[324.54193  364.16718   -9.497752],[335.035    362.181     -6.044024],[339.9068   367.6524    -6.907456],[338.9137    362.40585    -4.3171597],[343.93542   365.29144    -4.3171597],[331.08136  363.24902   -7.770888],[333.14252  372.44922   -9.497752],[344.3851   357.53406   -5.180592],[339.13855  358.52716   -5.180592]
[317.68393  348.2027   -15.541776],[317.15927  357.253    -11.224616],[316.78455  363.71747  -10.361184],[316.11     375.35358  -11.224616],[308.70856  346.38513  -14.678344],[299.43344  349.73917  -11.224616],[294.037    353.31805   -7.770888],[2.8849063e+02 3.5948279e+02 5.9604645e-08],[292.44427   358.41473    -1.7268639],[300.3516   356.27863   -6.044024],[305.5232  356.57843  -8.63432],[310.76974  355.58533  -10.361184],[307.1346   373.536    -10.361184],[310.395    362.04984   -9.497752],[298.83383  360.0824    -5.180592],[293.28748  366.24707   -6.044024],[296.24802  359.9325    -3.453728],[290.9265    362.21844    -2.5902958],[303.93048  361.67508   -7.770888],[299.52713 370.5005   -8.63432],[290.00836  355.67902   -3.453728],[296.47287  356.05377   -3.453728],[325.5163   347.3595   -14.678344],[335.70956  350.5449   -12.088048],[339.3634   354.64844   -9.497752],[345.45316   361.4877     -1.7268639],[341.6494   359.96994   -3.453728],[333.96698  358.22736   -7.770888],[328.87033  356.63464   -9.497752],[323.69873  356.33484  -11.224616],[325.23523  374.58533  -11.224616],[323.32397  362.79932   -9.497752],[335.035    362.181     -6.907456],[338.6139   367.57745   -6.907456],[338.9137    362.40585    -4.3171597],[342.64252   365.2165     -4.3171597],[329.78845 363.17407  -8.63432],[333.14252  372.44922   -9.497752],[344.3851   357.53406   -5.180592],[337.84564  358.4522    -5.180592]
[316.3161   349.42065  -14.678344],[315.8664   357.17804  -11.224616],[315.5666   362.34964   -9.497752],[314.81708  375.27863  -11.224616],[307.34073  347.6031   -13.814912],[299.43344  349.73917  -11.224616],[294.037    353.31805   -7.770888],[2.8719772e+02 3.5940784e+02 5.9604645e-08],[292.44427    358.41473     -0.86343193],[299.0587   356.20367   -6.044024],[304.2303  356.50348  -8.63432],[309.4019   356.80328  -10.361184],[305.84174  373.46106  -10.361184],[309.10208 361.97488  -8.63432],[298.83383  360.0824    -5.180592],[293.28748  366.24707   -6.044024],[294.95514   359.85754    -2.5902958],[289.6336    362.1435     -2.5902958],[302.63757  361.60013   -6.907456],[298.23422 370.42554  -8.63432],[290.00836  355.67902   -3.453728],[296.39792  357.34668   -3.453728],[325.44135  348.65237  -14.678344],[334.34174  351.76282  -12.088048],[339.28845 355.94135  -8.63432],[345.45316   361.4877     -1.7268639],[341.57446   361.26285    -2.5902958],[332.67407  358.1524    -6.907456],[328.79538 357.92755  -8.63432],[322.33087  357.5528   -10.361184],[323.94232  374.51038  -10.361184],[323.32397  362.79932   -9.497752],[333.74213  362.10605   -6.044024],[338.6139   367.57745   -6.907456],[337.6208    362.3309     -4.3171597],[342.64252   365.2165     -4.3171597],[328.4956   363.09912   -7.770888],[331.8496   372.37427   -9.497752],[343.01727  358.752     -5.180592],[337.7707    359.7451     -4.3171597]
[317.68393  348.2027   -14.678344],[317.23422  355.96008  -11.224616],[316.78455  363.71747   -9.497752],[316.11     375.35358  -10.361184],[308.70856  346.38513  -13.814912],[299.43344  349.73917  -11.224616],[294.11194  352.02515   -7.770888],[2.8849063e+02 3.5948279e+02 5.9604645e-08],[292.44427    358.41473     -0.86343193],[300.3516   356.27863   -6.044024],[304.2303  356.50348  -8.63432],[310.76974  355.58533  -10.361184],[307.05966  374.82892  -10.361184],[309.02713 363.26776  -8.63432],[298.75888  361.37527   -5.180592],[293.28748  366.24707   -6.044024],[296.24802   359.9325     -2.5902958],[290.9265    362.21844    -2.5902958],[303.93048  361.67508   -6.907456],[299.52713  370.5005    -7.770888],[290.00836  355.67902   -3.453728],[296.47287  356.05377   -3.453728],[325.5163   347.3595   -14.678344],[334.4167   350.46994  -12.088048],[339.3634  354.64844  -8.63432],[345.45316   361.4877     -1.7268639],[341.6494    359.96994    -2.5902958],[332.67407  358.1524    -6.907456],[328.87033  356.63464   -9.497752],[322.40582  356.2599   -10.361184],[323.94232  374.51038  -10.361184],[323.24902  364.09222   -9.497752],[333.74213  362.10605   -6.044024],[338.6139   367.57745   -6.907456],[337.6208    362.3309     -4.3171597],[342.64252  365.2165    -3.453728],[329.78845  363.17407   -7.770888],[331.8496  372.37427  -8.63432],[343.09222  357.4591    -5.180592],[337.84564   358.4522     -4.3171597]
